Designator,Mid X (mm),Mid Y (mm),Layer,Rotation
C12,108.712,9.652,Top,270
C10,108.712,21.844,Top,270
R34,13.716,10.668,Top,270
R33,87.9,20.828,Top,0
5V_ON,82.312,20.828,Top,90
R1,88.9,60.96,Top,270
H4,109.728,3.048,Top,0
H3,3.048,3.048,Top,0
H2,109.728,114.808,Top,0
H1,3.048,114.808,Top,0
Vm,24.543,17.78,Top,270
Vs,24.543,14.224,Top,270
STM_OK,24.543,10.668,Top,270
3.3V_ON,82.312,24.892,Top,90
CAN_FLT,23.177,24.384,Top,0
ERROR,23.177,21.336,Top,0
S1,35.56,3.556,Top,360
R32,101.092,63.5,Top,180
R31,85.979,108.376,Top,180
R30,62.992,8.128,Top,360
R29,58.42,8.128,Top,360
R28,18.862,24.892,Top,180
R27,18.862,21.336,Top,180
R26,18.796,17.78,Top,180
R25,18.73,14.224,Top,180
R24,18.796,11.684,Top,180
R23,87.9,24.892,Top,0
R15,81.28,14.666,Top,270
R14,99.526,14.224,Top,360
R13,104.6525,14.732,Top,0
R11,108.67,12.7,Top,360
R10,100.584,26.924,Top,360
R9,104.648,26.924,Top,360
R7,108.712,24.892,Top,0
Q7,86.36,93.472,Top,90
Q4,76.2,12.7,Top,90
Q3,87.884,15.748,Top,360
Q2,48.26,98.044,Top,180
Q1,68.072,98.044,Top,180
L2,99.06,9.928,Top,180
L1,99.568,22.584,Top,180
J5,87.5545,3.87,Top,180
J4,60.96,21.844,Top,360
J3,105.438,89.182,Top,90
J2,7.573,82.862,Top,270
J1,7.573,33.02,Top,270
IC9,43.688,18.796,Top,90
IC8,20.656,4.953,Top,180
IC7,101.392,58.928,Top,180
IC6,85.979,103.296,Top,180
IC5,87.884,9.926,Top,90
IC4,104.394,11.509,Top,0
IC3,104.398,23.876,Top,0
IC2,48.478,90.607,Top,360
IC1,68.036,90.861,Top,360
F5,77.216,3.048,Top,360
F4,97.028,79.756,Top,270
F3,97.028,101.6,Top,90
F2,101.6,51.816,Top,360
F1,23.368,99.568,Top,360
D3,47.752,111.76,Top,180
D2,68.072,111.76,Top,180
D1,19.304,78.74,Top,360
C30,45.212,9.652,Top,180
C29,45.212,7.62,Top,180
C28,38.608,26.924,Top,180
C27,35.56,13.998,Top,270
C26,38.608,28.956,Top,180
C25,51.816,14.45,Top,270
C24,51.816,23.368,Top,90
C23,33.528,13.998,Top,270
C18,97.836,57.912,Top,180
C17,82.471,102.28,Top,180
C15,25.908,5.588,Top,360
C14,15.24,7.112,Top,180
C13,94.837,13.022,Top,90
C11,95.504,25.4,Top,90
C9,53.34,91.44,Top,0
C8,48.26,86.868,Top,180
C7,43.688,88.9,Top,270
C6,73.152,91.948,Top,0
C5,68.072,87.376,Top,180
C4,63.5,89.408,Top,270
C3,99.568,38.922,Top,270
C2,88.9,65.532,Top,90
C1,24.511,87.757,Top,180
